학교,학년,난이도,과목,문제,정답,선택1,선택2,선택3
고등학교,3,1,영어,불필요한,Needless,Necessary,Essential,Unnecessary
고등학교,3,2,영어,낭비하다,Waste,Spend,Save,Invest
고등학교,3,1,영어,고집하는,Stubborn,Obstinate,Compliant,Adaptable
고등학교,3,2,영어,부정직한,Dishonest,Honest,Truthful,Misleading
고등학교,3,3,영어,일시적인,Temporary,Permanent,Endless,Short-lived
고등학교,3,1,영어,자발적인,Voluntary,Involuntary,Willing,Forced
고등학교,3,2,영어,침착한,Calm,Anxious,Nervous,Excited
고등학교,3,3,영어,고요한,Quiet,Noisy,Loud,Peaceful
고등학교,3,2,영어,열정적인,Passionate,Indifferent,Apathetic,Enthusiastic
고등학교,3,1,영어,능동적인,Active,Passive,Inactive,Idle
고등학교,3,2,영어,죄송한,Apologetic,Unapologetic,Remorseful,Regretful
고등학교,3,3,영어,남용하다,Abuse,Use,Protect,Preserve
고등학교,3,2,영어,유용한,Useful,Useless,Helpful,Beneficial
고등학교,3,1,영어,도전적인,Challenging,Easy,Demanding,Difficult
고등학교,3,2,영어,귀찮은,Annoying,Enjoyable,Pleasant,Agreeable
고등학교,3,3,영어,무책임한,Careless,Responsible,Conscientious,Meticulous
고등학교,3,2,영어,즉각적인,Immediate,Delayed,Later,Prompt
고등학교,3,1,영어,관대한,Tolerant,Intolerant,Accepting,Open-minded
고등학교,3,2,영어,냉정한,Cool-headed,Impulsive,Rash,Hot-headed
고등학교,3,3,영어,자기 흥미,Self-interest,Altruism,Generosity,Unselfishness
고등학교,3,2,영어,단호한,Firm,Indecisive,Unyielding,Determined
고등학교,3,1,영어,완벽주의자,Perfectionist,Imperfectionist,Picky,Easygoing
고등학교,3,2,영어,효율적인,Efficient,Inefficient,Productive,Wasteful
고등학교,3,3,영어,재미있는,Amusing,Boring,Entertaining,Exciting
고등학교,3,2,영어,고립된,Isolated,Connected,Separate,Lonely
고등학교,3,1,영어,발전된,Developed,Underdeveloped,Advanced,Progressed
고등학교,3,2,영어,흥미로운,Interesting,Boring,Fascinating,Engaging
고등학교,3,3,영어,용감한,Brave,Cowardly,Fearless,Daring
고등학교,3,2,영어,외톨이,Loner,Socialite,Introvert,Extrovert
고등학교,3,1,영어,자신감 있는,Confident,Insecure,Assured,Doubtful
고등학교,3,2,영어,외향적인,Outgoing,Reserved,Shy,Introverted
고등학교,3,3,영어,소극적인,Passive,Active,Inactive,Idle
고등학교,3,2,영어,잔인한,Cruel,Kind,Harsh,Merciful
고등학교,3,1,영어,솔직한,Honest,Dishonest,Truthful,Trustworthy
고등학교,3,2,영어,숙련된,Skilled,Inexperienced,Proficient,Competent
고등학교,3,3,영어,자주 일어나는,Frequent,Occasional,Rare,Infrequent
고등학교,3,2,영어,귀중한,Valuable,Worthless,Precious,Invaluable
고등학교,3,1,영어,냉담한,Cold-hearted,Kind,Warm-hearted,Sympathetic
고등학교,3,2,영어,날카로운,Sharp,Dull,Pointed,Blunt
고등학교,3,3,영어,무관심한,Indifferent,Interested,Caring,Concerned
고등학교,3,2,영어,귀찮은,Bothersome,Pleasant,Agreeable,Enjoyable
고등학교,3,1,영어,불안한,Anxious,Calm,Nervous,Worried
고등학교,3,2,영어,무능한,Incompetent,Competent,Inept,Skilled
고등학교,3,3,영어,유연한,Flexible,Inflexible,Adaptable,Rigid
고등학교,3,2,영어,존경하는,Admire,Despise,Respect,Disrespect
고등학교,3,1,영어,낭만적인,Romantic,Practical,Realistic,Unsentimental
고등학교,3,2,영어,평범한,Ordinary,Extraordinary,Common,Unremarkable
고등학교,3,3,영어,미끄러운,Slippery,Sticky,Slick,Greasy
고등학교,3,2,영어,명확한,Clear,Ambiguous,Obvious,Distinct
고등학교,3,1,영어,재미있는,Funny,Serious,Amusing,Entertaining
고등학교,3,2,영어,열정적인,Passionate,Indifferent,Apathetic,Enthusiastic
고등학교,3,3,영어,경쟁적인,Competitive,Noncompetitive,Ambitious,Unambitious
고등학교,3,2,영어,긴장된,Tense,Relaxed,Stressed,Calm
고등학교,3,2,영어,가난한,Poor,Wealthy,Impoverished,Rich
고등학교,3,2,영어,행복한,Happy,Sad,Joyful,Content
고등학교,3,3,영어,무례한,Rude,Polite,Impolite,Disrespectful
고등학교,3,2,영어,현명한,Wise,Foolish,Intelligent,Sensible
고등학교,3,1,영어,헤아릴 수 없는,Incomprehensible,Understandable,Confusing,Complicated
고등학교,3,1,영어,책임감 있는,Responsible,Irresponsible,Accountable,Reliable
고등학교,3,3,영어,모험심 있는,Adventurous,Cautious,Daring,Risk-averse
고등학교,3,2,영어,무조건의,Absolute,Conditional,Unconditional,Contingent
고등학교,3,1,영어,자유로운,Free,Restricted,Liberated,Confined
고등학교,3,2,영어,비판적인,Critical,Supportive,Judgmental,Analytical
고등학교,3,3,영어,자부심 있는,Proud,Humble,Arrogant,Modest
고등학교,3,2,영어,정직한,Sincere,Dishonest,Genuine,Authentic
고등학교,3,1,영어,무자비한,Merciless,Merciful,Ruthless,Compassionate
고등학교,3,2,영어,비난하는,Critical,Supportive,Encouraging,Positive
