학교,학년,난이도,과목,문제,정답,선택1,선택2,선택3
중학교,1,3,영어,다음 중 올바른 대명사 조합은 무엇인가요?,He is my friend.,We is going to the park.,They am happy,She are studying.
중학교,1,1,영어,I have _____ apple. 빈칸에 들어갈 알맞은 관사는 무엇인가요?,a,an,the,some
중학교,1,3,영어,다음 중 올바른 동사 형태는 무엇인가요?,Played,Goed,Runed,Singing
중학교,1,1,영어,What time is it?의 의미는 무엇인가요?,지금 몇 시인가요?,오늘은 몇 일인가요?,어디로 가야 하나요?,무슨 요일인가요?
중학교,1,3,영어,다음 중 올바른 형용사 조합은 무엇인가요?,Big house,Housed big,Bigly cat,Cat big
중학교,1,3,영어,Where are you from?의 의미는 무엇인가요?,너는 어디서 왔니?,너는 어디에 가고 있니?,너는 몇 살이니?,너는 무슨 취미가 있니?
중학교,1,1,영어,"Can you pass me the salt, please?의 의미는 무엇인가요?",소금을 가져다 줄 수 있을까요?,소금을 먹을 수 있을까요?,소금을 잘 못 먹겠어요.,소금을 넘겨 줄 수 있을까요?
중학교,1,1,영어,How do you spell 'book'?의 의미는 무엇인가요?,책'을 어떻게 쓰나요?,책'을 어떻게 발음해요?,책'을 어떻게 말해요?,책'을 어떻게 읽어요?
중학교,1,1,영어,I like to play soccer _____ my friends. 빈칸에 들어갈 가장 알맞은 전치사는 무엇인가요?,with,for,to,at
중학교,1,1,영어,What is your favorite color?의 의미는 무엇인가요?,당신의 좋아하는 색깔은 무엇인가요?,당신의 나이는 몇 살인가요?,당신의 직업은 무엇인가요?,당신의 가족 구성원은 몇 명인가요?
중학교,1,3,영어,My brother is _____ engineer. 빈칸에 들어갈 알맞은 직업은 무엇인가요?,a,an,the,no article
중학교,1,1,영어,How _____ is the concert ticket? 빈칸에 들어갈 알맞은 부사는 무엇인가요?,much,many,long,far
중학교,1,1,영어,다음 중 올바른 문장은 무엇인가요?,I don't have a pen.,She don't like ice cream.,He doesn't likes to swim.,They doesn't go to school.
중학교,1,3,영어,Could you please repeat that?의 의미는 무엇인가요?,그거 다시 말해 주실래요?,그거 좀 더 크게 말해 주실래요?,그거 좀 더 느리게 말해 주실래요?,그거 좀 더 빨리 말해 주실래요?
중학교,1,3,영어,I have been studying English _____ five years. 빈칸에 들어갈 알맞은 전치사는 무엇인가요?,for,since,ago,until
중학교,1,2,영어,What are you going to do this weekend?의 의미는 무엇인가요?,너는 이번 주말에 무엇을 할 거야?,너는 어디로 갈 거야?,너는 어떤 음식을 좋아해?,너는 어떤 책을 읽고 있어?
중학교,1,3,영어,I can't find my keys. _____ have you seen them? 빈칸에 들어갈 알맞은 의문대명사는 무엇인가요?,who,what,where,when
중학교,1,1,영어,다음 중 올바른 대명사 조합은 무엇인가요?,He is funny,Their is a dog.,We has a book.,She are my sister.
중학교,1,1,영어,"It's raining heavily, _____ I forgot my umbrella. 빈칸에 들어갈 알맞은 접속사는 무엇인가요?",but,so,and,or
중학교,1,3,영어,What time does the movie start?의 의미는 무엇인가요?,그 영화 언제 시작하나요?,그 영화 어디서 볼 수 있나요?,그 영화 어떤 장르인가요?,그 영화 어떤 배우들이 출연하나요?
중학교,1,2,영어,What is the meaning of 'zenith'?,"정점, 절정","덧없는, 순식간의","사교적인, 실용적인",실용주의의
중학교,1,1,영어,What is the meaning of 'prolific'?,"다작의, 다산의",무죄를 입증하다,모범적인,"무수한, 막대한"
중학교,1,3,영어,What is the meaning of 'meticulous'?,세심한,"번거로운, 고된",모범적인,"정점, 절정"
중학교,1,1,영어,What is the meaning of 'gregarious'?,사교적인,무죄를 입증하다,"실용적인, 실용주의의 ","정점, 절정"
중학교,1,1,영어,What is the meaning of 'pragmatic'?,"실용적인, 실용주의의",어디에나 존재하는,"사악한,악랄한","정점,절정"
중학교,1,3,영어,What is the meaning of 'candid'?,솔직한,"숨김없는, 솔직한","실용적인, 실용주의의 ",어디에나 존재하는
중학교,1,2,영어,What is the meaning of 'efficacious'?,효과적인,막대한,설득력 있는,일탈
중학교,1,2,영어,What is the meaning of 'ambivalent'?,상반된,일탈,악랄한,효과적인
중학교,1,3,영어,What is the meaning of 'gregarious'?,사교적인,일탈,번거로운,덧없는
중학교,1,3,영어,What is the meaning of 'prolific'?,"다작의, 다산의","정점,절정",덧없는,어디에나 존재하는
중학교,1,3,영어,He is late. (always)에서 괄호 안에 단어가 알맞은 곳에 쓰인 문장은?,He is always late,Always he is late,He always is late,He is late always
중학교,1,1,영어,‘This is Su-mi. shy is my best friend.’라는 문장의 의도는 무엇인가요?,소개,초대,축하,비하
