학교,학년,난이도,과목,문제,정답,선택1,선택2,선택3
초등학교,2,1,영어,다음 중 파랑 색은 무엇인가요?,blue,yellow,red,black
초등학교,2,1,영어,농장을 뜻하는 단어는 무엇인가요?,farm,pet,fish,bird
초등학교,2,1,영어,겨울은 영어로 무엇일까요?,winter,spring,summer,autumn
초등학교,2,1,영어,학교를 뜻하는 영어는 무엇일까요?,school,park,mall,zoo
초등학교,2,1,영어,해가 떠있는 날씨를 뭐라고 할까요?,sunny,rainy,windy,cloudy
초등학교,2,1,영어,아이스크림은 영어로 무엇일까요?,ice cream,pizza,spaghetti,cream
초등학교,2,1,영어,집을 뜻하는 단어는 무엇일까요?,home,school,park,restaurant
초등학교,2,1,영어,다음 중 조그마하다 라는 뜻을 가진 단어는 무엇일까요?,tiny,giant,strong,fast
초등학교,2,1,영어,다음 중 해바라기를 뜻하는 영어 단어는 무엇인가요?,sunflower,tulip,rose,pumpkin
초등학교,2,1,영어,개가 짖는 소리를 영어로 하면 무엇일까요?,bark,meow,moo,quack
초등학교,2,2,영어,다음 중 손을 뜻하는 단어는 무엇인가요?,hand,foot,head,leg
초등학교,2,1,영어,다음 중 모자를 의미하는 단어는 무엇인가요?,hat,socks,gloves,scarf
초등학교,2,1,영어,다음 중 바나나라고 불리는 것은 무엇일까요?,banana,orange,apple,grape
초등학교,2,1,영어,다음 중 자전거를 뜻하는 단어는 무엇인가요?,bicycle,ship,train,car
초등학교,2,1,영어,다음 중 봄을 뜻하는 단어는 무엇일까요?,Spring,summer,autumn,winter
초등학교,2,2,영어,다음 중 쏘다 라는 뜻을 가진 단어는 무엇일까요?,shoot,serve,dribble,tackle
초등학교,2,1,영어,12월 25일에 기념하는 축제는 무엇일까요?,christmas,halloween,thanksgiving,new year's day
초등학교,2,1,영어,다음 중 도서관을 뜻하는 단어는 무엇일까요?,library,park,restaurant,stadium
초등학교,2,1,영어,다음 중 연필을 뜻하는 단어는 무엇일까요?,pencil,eraser,ruler,book
초등학교,2,1,영어,다음 중 형제 관계를 나타내는 단어는 무엇일까요?,brother,cousin,uncle,grandpader
초등학교,2,2,영어,다음 중 파랑을 뜻하는 색은 무엇인가요?,blue,yellow,red,black
초등학교,2,1,영어,새를 뜻하는 단어는 무엇인가요?,bird,dog,fish,pig
초등학교,2,1,영어,다음 중 가을은 영어로 무엇일까요?,autumn,spring,summer,winter
초등학교,2,1,영어,다음 중 동물원을 뜻하는 영어는 무엇일까요?,zoo,house,restaurant,school
초등학교,2,1,영어,흐린 날씨를 뭐라고 할까요?,Cloudy,rainy,windy,sunny
초등학교,2,1,영어,다음 중 스파게티는 영어로 무엇일까요?,spaghetti,pizza,ice cream,salad
초등학교,2,2,영어,다음 중 공원이라는 뜻을 가진 단어는 무엇일까요?,park,school,restaurant,house
초등학교,2,2,영어,다음 중 빠르다 라는 뜻을 가진 단어는 무엇일까요?,fast,giant,tiny,strong
초등학교,2,1,영어,다음 중 장미를 뜻하는 영어 단어는 무엇인가요?,rose,tulip,sunflower,pumpkin
초등학교,2,3,영어,오리가 우는 소리를 영어로 하면 무엇일까요?,quack,meow,moo,bark
초등학교,2,2,영어,자동차라는 뜻을 가진 c_r의 빈칸에 들어갈 알맞은 알파벳은?,a,e ,I ,u
초등학교,2,1,영어,다음 중 wo_ld의 빈칸에 들어갈 알맞은 알파벳은?,r ,u,o,t 
초등학교,2,1,영어,다음 중 dam의 뜻으로 알맞은 것은?,댐,농장 ,과일,와플
초등학교,2,1,영어,다음 중 sacrifice의 뜻으로 알맞은 것은?,희생,사랑,인생,노력
초등학교,2,2,영어,다음 중 mushroom의 뜻으로 알맞은 것은?,버섯,자작나무,공간,방
초등학교,2,2,영어,다음 중 luck의 뜻으로 알맞은 것은?,운,자물쇠,감금,방망이
초등학교,2,2,영어,다음 중 dance의 뜻으로 알맞은 것은?,춤,노래,한약,희망
초등학교,2,1,영어,다음 중 habit의 뜻으로 알맞은 것은?,습관,운명,토끼,여우
초등학교,2,1,영어,다음 중 open의 뜻으로 알맞은 것은?,열다,문,닫다,잠그다
초등학교,2,1,영어,다음 중 job의 뜻으로 알맞은 것은?,일,땅 ,책,용
초등학교,2,2,영어,다음 중 run의 뜻으로 알맞은 것은?,달리다,기어가다,잠들다,울다
초등학교,2,1,영어,다음 중 myth의 뜻으로 알맞은 것은,수학,신화,연꽃,교수
초등학교,2,1,영어,다음 중 handle의 뜻으로 알맞은 것은?,손잡이,안대,망치,손목
초등학교,2,2,영어,다음 중 nail의 뜻으로 알맞은 것은?,손톱,발,전기 톱,요리
초등학교,2,2,영어,다음 중 glory의 뜻으로 알맞은 것은?,영광,슬픈 결말,총,아가씨
초등학교,2,1,영어,다음 중 grade의 뜻으로 알맞은 것은?,학년,학교,나이,선생님
초등학교,2,1,영어,다음 중 turtle의 뜻으로 알맞은 것은?,거북이,고양이,돌고래,새우
초등학교,2,1,영어,다음 중 cough의 뜻으로 알맞은 것은?,기침,숫자,망신,역병
초등학교,2,2,영어,다음 중 coil의 뜻으로 알맞은 것은?,코일,사랑,전기,식빵
초등학교,2,1,영어,다음 중 umbrella의 뜻으로 알맞은 것은?,우산 ,여우,우비,산성비
