학교,학년,난이도,과목,문제,정답,선택1,선택2,선택3
고등학교,1,1,영어,다음 중 object의 뜻으로 알맞은 것은?,사물,결속,역사,인사
고등학교,1,3,영어,다음 중 bowl의 뜻으로 알맞은 것은?,절하다,그릇,상징,구르다
고등학교,1,1,영어,다음 중 effort의 뜻으로 알맞은 것은?,노력,건강,감동,다른
고등학교,1,1,영어,다음 중 comfort의 뜻으로 알맞은 것은?,편안,약점,불안,복통
고등학교,1,3,영어,다음 중 shell의 뜻으로 알맞은 것은?,소라,물고기,물범,참치
고등학교,1,1,영어,다음 중 present의 뜻으로 알맞은 것은?,현재,과거,미래,저주
고등학교,1,3,영어,다음 중 petal의 뜻으로 알맞은 것은?,꽃잎,낙엽 잎,눈꽃,역사
고등학교,1,1,영어,다음 중 atom의 뜻으로 알맞은 것은?,원자 ,분자,연심,화학반응
고등학교,1,3,영어,What is the capital city of France?,Paris,london,rome,berlin
고등학교,1,3,영어,Who wrote the play 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain
고등학교,1,2,영어,What is the chemical symbol for gold?,Au,Ag,Hg,Cu
고등학교,1,3,영어,What is the longest river in the world?,Nile River,Amazon River,Yangtze River ,Mississippi River
고등학교,1,3,영어,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo
고등학교,1,3,영어,What is the plural form of 'mouse'?,mice,Mouses,Mices,Mousies
고등학교,1,3,영어,What is the capital city of Japan?,Tokyo,Seoul,Beijing,Bangkok
고등학교,1,3,영어,Which planet is known as the 'Red Planet'?,Mars,Mercury,Uranus,Neptune
고등학교,1,1,영어,What is the largest organ in the human body?,Skin,Brain,Liver,Heart
고등학교,1,3,영어,Who is the current President of the United States?,Joe Biden,Donald Trump,Barack Obama,George Washington
